Participant.ID,PRE.POST,Trial_type,LR_recipmodel,inv_recipmodel,Excl10_LR,Excl10_Inv,Optimal.choice,Response.time,Optimal.choice.perc,response.time.corr
P012,NA,Loss,0.069963778,1.548852131,1.828885769,0.031315666,56,793.6451613,90.32258065,772.4642857
P013,NA,Loss,0.4100029,0.26224587,0.301513265,0.540434579,38,887.7659574,80.85106383,871.5526316
P014,NA,Loss,0.029033222,2.460624896,2.296396304,0.041004227,57,912.7192982,100,912.7192982
P015,NA,Loss,0.029756748,1.980744955,1.831604336,0.048340133,56,799.0169492,94.91525424,800.0357143
P016,NA,Loss,0.29687019,0.842662929,0.905186832,0.866696346,53,900.442623,86.8852459,863.3207547
P017,NA,Loss,0.178258873,-0.462258692,-0.692016703,0.275460635,38,682.4666667,63.33333333,747.7368421
P018,NA,Loss,0.268978005,-1.54373452,-1.568740952,0.204875032,29,1233.716667,48.33333333,1082.689655
P019,NA,Loss,0.062607025,1.187893139,1.006222907,0.135945442,50,1091.824561,87.71929825,1065.96
P020,NA,Loss,0.103293988,-0.749200207,-0.69255927,0.183368396,27,1027.756098,65.85365854,1012.222222
P021,NA,Loss,0.276514022,-1.340348548,-1.257377128,0.439074219,20,1192.785714,47.61904762,1247.3
P022,NA,Loss,0.226022586,-1.262047673,-1.281170593,0.31499314,34,486.9166667,56.66666667,549.5882353
P023,NA,Loss,0.030261831,2.969464361,3.696751414,0.541470059,61,555.7377049,100,555.7377049
P024,NA,Loss,0.674808527,0.630091883,0.68315022,0.688315521,26,1005.285714,92.85714286,992.8461538
P025,NA,Loss,0.357573913,-1.290499362,-1.370162025,0.319581952,33,956.9,55,844.1212121
P026,NA,Loss,0.857249899,-0.841719611,-0.721974407,0.834720166,22,1108.485714,62.85714286,1206.363636
P027,NA,Loss,0.147732563,0.453487404,0.40607112,0.251641999,38,917.0666667,84.44444444,869.2894737
P028,NA,Loss,0.216051427,-0.476029653,-0.334330501,0.274598719,26,1180.314286,74.28571429,1204.461538
P029,NA,Loss,0.533985451,-1.314693268,-1.374644249,0.475077218,32,392.0491803,52.45901639,422.40625
P030,NA,Loss,0.247186439,-1.666723061,-1.655099555,0.25496908,27,1019.627119,45.76271186,1032.666667
P031,NA,Loss,0.126771536,0.811447473,1.052896879,0.060854075,40,1031.934783,86.95652174,993.2
P032,NA,Loss,0.047137044,2.428231432,2.446240965,0.041485482,54,862.6363636,98.18181818,857.9074074
