"","rt","response","subj_idx","condition","correct","stim","Allocation"
"160",0.487418023076316,"0","P001","1-back",1,"0","ACTIVE"
"161",0.381504794037482,"1","P002","1-back",1,"1","PLACEBO"
"162",0.583629111818937,"0","P002","1-back",1,"0","PLACEBO"
"163",0.598754557974644,"0","P002","1-back",1,"0","PLACEBO"
"164",0.293698083256004,"0","P002","0-back",1,"0","PLACEBO"
"165",0.373967574467315,"0","P002","0-back",1,"0","PLACEBO"
"166",0.362459272142587,"0","P002","0-back",1,"0","PLACEBO"
"167",0.525381899476088,"1","P002","0-back",1,"1","PLACEBO"
"168",0.380536282782941,"0","P002","0-back",1,"0","PLACEBO"
"169",0.301116804821049,"0","P002","0-back",1,"0","PLACEBO"
"170",0.460286684307448,"1","P002","0-back",1,"1","PLACEBO"
"171",0.304130572983013,"0","P002","0-back",1,"0","PLACEBO"
"172",0.277669128688558,"0","P002","0-back",1,"0","PLACEBO"
"173",0.372607180046089,"1","P002","0-back",1,"1","PLACEBO"
"174",0.287532454768552,"0","P002","1-back",1,"0","PLACEBO"
"175",0.647357712198755,"0","P002","1-back",1,"0","PLACEBO"
"176",NA,NA,"P002","1-back",0,"0","PLACEBO"
"177",0.412771472398163,"1","P002","1-back",1,"1","PLACEBO"
"178",0.312355143186778,"0","P002","1-back",1,"0","PLACEBO"
"179",0.681139596248158,"1","P002","1-back",0,"0","PLACEBO"
"180",0.724388568954964,"0","P002","1-back",1,"0","PLACEBO"
"181",0.430525023917198,"0","P002","1-back",1,"0","PLACEBO"
"182",0.266275281129765,"0","P002","0-back",1,"0","PLACEBO"
"183",0.358305932613348,"1","P002","0-back",1,"1","PLACEBO"
"184",0.283620776525822,"0","P002","0-back",1,"0","PLACEBO"
"185",0.390068374282237,"1","P002","0-back",1,"1","PLACEBO"
"186",0.349209266855269,"0","P002","2-back",1,"0","PLACEBO"
"187",1.31091886027934,"0","P002","2-back",1,"0","PLACEBO"
"188",0.522077329123022,"0","P002","2-back",1,"0","PLACEBO"
"189",0.681247519628414,"0","P002","2-back",1,"0","PLACEBO"
"190",0.973467021476608,"0","P002","2-back",1,"0","PLACEBO"
"191",0.920718925220172,"0","P002","2-back",0,"1","PLACEBO"
"192",0.746251606410169,"1","P002","2-back",1,"1","PLACEBO"
"193",0.39213198127436,"0","P002","2-back",1,"0","PLACEBO"
"194",0.673098837910857,"1","P002","2-back",0,"0","PLACEBO"
"195",0.864952395525961,"1","P002","2-back",1,"1","PLACEBO"
"196",0.280833429748782,"0","P002","1-back",1,"0","PLACEBO"
"197",0.522655512303118,"1","P002","1-back",1,"1","PLACEBO"
"198",0.643908829314569,"0","P002","1-back",1,"0","PLACEBO"
"199",0.556692431429838,"0","P002","1-back",1,"0","PLACEBO"
"200",0.397433911703047,"0","P002","1-back",1,"0","PLACEBO"
"201",0.747171598796285,"0","P002","1-back",1,"0","PLACEBO"
"202",1.65701949836466,"0","P002","3-back",1,"0","PLACEBO"
"203",0.42196579793017,"0","P002","1-back",1,"0","PLACEBO"
