subj_idx,condition,a,st,sv,t,v
P052,2-back,0.5202001521141452,0.2078054037910706,2.063593674595206,0.1497557009739164,0.7744277753853697
P052,3-back,0.4183128195593308,0.2186249886765922,1.6835458650922506,0.1658344830353965,1.5029763550307198
P053,0-back,0.4953580755605836,0.2073964635918795,1.6578181186721812,0.1479766593486099,0.7285501155709565
P053,1-back,0.508601559671656,0.2305537163656939,1.803432194922952,0.1609426256454473,0.5630159830039975
P053,2-back,0.4837338412606788,0.183264571389301,1.8018941188119928,0.1395421930537142,0.6546032307244493
P053,3-back,0.6603796408018533,0.158577488156263,2.344363480432732,0.1335261868165815,0.4719409879815304
P054,0-back,0.5038764878526952,0.2098158741571737,1.959755916662656,0.142361939135099,0.0888208218396923
P054,1-back,0.539546222138196,0.2110781614234277,1.6959476457751053,0.1495816602166893,0.5929491281560733
P054,2-back,0.453470591845841,0.2286164583861571,2.0140028440212823,0.1614868036164475,0.8871329844612744
P054,3-back,0.5329451209069364,0.1864148558971767,2.1178646791828237,0.1404533301801301,0.7029719924970214
P055,0-back,0.4071002187707165,0.208165808133024,1.735415230460404,0.1529751075747873,-0.0280003070485262
P055,1-back,0.5717968490878801,0.2232526770795275,2.2003504198296464,0.1427817290650314,0.6491575993216693
P055,2-back,0.4988092418957174,0.1917492868197217,1.8053924642442425,0.1557177285721145,1.9736405418119412
P055,3-back,0.462652023476709,0.2330415911194238,1.8622631837454404,0.1617428180295307,0.2827871224826418
P056,0-back,0.4832414952703324,0.1945373909610433,1.834821759560158,0.1633991162865979,0.9469640240611747
P056,1-back,0.4729498015595512,0.1987629200006928,1.9375890488667025,0.1547353952808845,0.101026489236816
P056,2-back,0.4626491900908927,0.2167954296107811,1.805908824951488,0.1589418840256918,-0.0449724322052085
P056,3-back,0.5358861267130561,0.1996891365188895,1.9572839906777904,0.1602691106849906,1.6286152678363337
P057,0-back,0.526783540910199,0.2591331022675482,1.8109641218182368,0.1674276655075255,1.1169016484840957
P057,1-back,0.5459218592775825,0.1843491120696237,1.7266650635360674,0.1379459496648518,0.6056824030650175
P057,2-back,0.5478633775862559,0.194704683613307,1.6856618771937388,0.1380561907361562,0.7141524149105941
P057,3-back,0.5385933152532282,0.2061971408951701,1.8456203791786836,0.1528094683668523,0.5305456249615392
P058,0-back,0.5261213541284827,0.1858858510764687,1.902702303874282,0.142702560113392,0.6902913295549592
P058,1-back,0.5321569157228334,0.2035081770268859,1.940755574271279,0.1467201023495167,-0.0857301137042233
P058,2-back,0.4222342930220933,0.2062672616299248,1.8135120502238224,0.1627274874634035,0.3844855469078322
P058,3-back,0.5155145865500218,0.1942344211703576,2.328148552656583,0.1476037884941574,1.095253870868464
P059,0-back,0.5167509752408065,0.2308045087394094,2.1053694699014245,0.1501125197826908,0.6042888325423234
P059,1-back,0.5241038249488669,0.2017298584232125,1.6086237462902933,0.1483947253295412,0.8986043033037922
P059,2-back,0.5098131794156465,0.1971853369116327,1.975027842668214,0.1508867565445367,0.0550805646384956
P059,3-back,0.5391530269307813,0.184708194238706,2.220215038837268,0.143704459974303,1.15467305527587
P060,0-back,0.44655955320516,0.2195059364665554,1.8529340132724803,0.1552447627053125,0.6245615454016848
P060,1-back,0.4926968707916875,0.2094653393791303,2.1094114158104174,0.1610184544681056,1.1691233711690328
P060,2-back,0.518128354469503,0.1929237789016239,1.8592005500739777,0.1325674367570176,0.7691398558311694
P060,3-back,0.4704739797641014,0.2051650871266744,1.93837647481466,0.1589574219023285,0.3148805156521135
P061,0-back,0.4997525177442709,0.1946974892734852,2.201349909449801,0.1520848228277686,1.2592035977498546
P061,1-back,0.5132768163310742,0.2170793123274208,1.9107772751785432,0.1544411082024349,0.9345582503961812
P061,2-back,0.5218116897378487,0.2188229051189842,1.6593026226468035,0.1522670142037731,0.4574934591477399
P061,3-back,0.5652210139007448,0.1861465006784222,2.1937496963688727,0.1354369946883959,0.7252614342906804
P062,0-back,0.6410214179375455,0.1587811275330065,1.890810877196872,0.1124859308786767,0.5291726838895542
P062,1-back,0.4697171108691113,0.205736290718882,1.795294766496533,0.1610904324400126,0.3992759084973473
P062,2-back,0.540875159359991,0.1701969705571862,2.253542791202668,0.1458443963911995,0.9801029083455955
P062,3-back,0.5410314996988105,0.1951532660647068,2.1608384365735387,0.1414231706682525,0.8598504197160957
P063,0-back,0.4890161876340476,0.2084783448523804,2.297328221591413,0.1572334973791664,1.3552167033330125
P063,1-back,0.5695441733585922,0.2133564300193567,1.9121294407655605,0.1476525370189062,0.5129388940688432
P063,2-back,0.5432899037424984,0.1906985829304471,1.871102144741778,0.1455830784697239,0.9546848379706502
P063,3-back,0.4863537008655032,0.2064644831258145,1.6936864811108467,0.1537339085454332,1.4080580361970552
P064,0-back,0.3912356074227559,0.2203953423100936,1.7482408847935371,0.1783350050406796,1.5263133542028795
P064,1-back,0.496516130512709,0.1873630647037179,2.053666376801484,0.1471249818127717,0.7902713597180271
P064,2-back,0.4746527717866116,0.2246206853542779,1.7741564690568448,0.1542815316033316,1.0751971072809543
P064,3-back,0.4879701551595,0.196371241704875,1.8677031210220243,0.1555752920895059,1.2398802840250491
P065,0-back,0.599096107638589,0.1569345981147604,1.7918370056739368,0.1275364077692779,-0.1391403544491155
P065,1-back,0.5512895099094448,0.1788351401507686,1.9213031613335412,0.1518296184669127,0.860148520065253
P065,2-back,0.4025092430521729,0.2166251078717275,1.8952621711454365,0.1598039958122406,0.8513096880881712
P065,3-back,0.4559359795754156,0.2203352890077571,1.700288097373836,0.1690683415565514,0.537766042261995
P066,0-back,0.5023683951102476,0.1951500679261019,1.8711546346639256,0.1513333027481052,0.5129802542781299
P066,1-back,0.493373294881158,0.1800811646909108,1.8493381653401864,0.1451615678627342,0.7902214362287063
P066,2-back,0.5252190696020355,0.1931381981389005,1.8023305632973947,0.1496192542689857,0.0370513876597966
P066,3-back,0.4885522417206661,0.2014973206923388,1.879501289842408,0.1611014505985851,0.9798082998394576
P067,0-back,0.5113767131181273,0.1872294045501334,2.0832920608664653,0.1458505176791039,0.7070878476018296
P067,1-back,0.5009967532271702,0.2102803891688439,1.8523738728772776,0.1529137062735978,0.4721040134798454
