Participant.ID,condition,a,st,sv,t,v,qtarget_corr_acc,qtarget_incorr_acc,qtarget_corr_acc_perc,no_qtarget_incorr_acc,no_qtarget_corr_acc,Overall_acc,Overall_acc_perc,qtarget_adjusted_score,qtarget_adjusted_score_2,log_adjusted_score,log_adjusted_score_2,dprime,beta,aprime,bppd,c,mean_RT_all,mean_RT_qtar,mean_RT_non_qtar
P023,3-back,1.281201396,0.271546253,1.388685653,0.396696167,2.306754711,7,3,70,2,28,35,87.5,5,30,3.091042453,3.761200116,1.904348509,1.69690851,NA,NA,0.277684505,653.2006846,653.2006846,653.2006846
P024,0-back,1.522288894,0.337148617,0.816765927,0.315455155,3.604966254,9,1,90,0,30,39,97.5,9,38,3.258096538,3.931825633,3.32079335,1.052970534,NA,NA,0.015543048,532.3544757,532.3544757,532.3544757
P024,1-back,2.46074957,0.38084985,1.037399843,0.335289849,3.539982371,10,0,100,3,27,37,92.5,7,34,3.17805383,3.850147602,2.774655243,7.227399843,NA,NA,0.712837871,710.0003,710.0003,710.0003
P024,2-back,3.50725775,0.405524099,1.567846926,0.424584502,2.767005683,10,0,100,6,24,34,85,4,28,3.044522438,3.713572067,2.353055821,7.87859809,NA,NA,0.877221,997.2652585,997.2652585,997.2652585
P024,3-back,3.165486727,0.439840214,0.713686876,0.310332402,0.973240541,5,5,50,8,22,27,67.5,-3,14,2.63905733,3.295836866,0.582567393,1.388301156,NA,NA,0.563163702,1210.582,1210.582,1210.582
P025,0-back,1.761702106,0.072333763,1.030897528,0.223958404,3.803653161,10,0,100,0,30,40,100,10,40,3.295836866,3.970291914,3.831819751,2.370886532,NA,NA,0.225288246,474.2431756,474.2431756,474.2431756
P025,1-back,1.79832676,0.197549559,0.934071465,0.304108993,4.450287496,10,0,100,0,30,40,100,10,40,3.295836866,3.970291914,3.831819751,2.370886532,NA,NA,0.225288246,520.3275086,520.3275086,520.3275086
P025,2-back,1.677554423,0.514514024,1.44502167,0.456372248,2.366926701,9,1,90,3,27,36,90,6,32,3.135494216,3.80666249,2.243502511,3.116096654,NA,NA,0.506610151,834.7036492,834.7036492,834.7036492
P025,3-back,1.223951451,0.430532133,0.913743461,0.500301629,2.03713621,8,2,80,3,27,35,87.5,5,30,3.091042453,3.761200116,1.93151641,2.238706023,NA,NA,0.417235922,762.8989588,762.8989588,762.8989588
P026,0-back,1.909487576,0.250462358,0.814413197,0.41629076,4.955349296,10,0,100,0,30,40,100,10,40,3.295836866,3.970291914,3.831819751,2.370886532,NA,NA,0.225288246,616.4091833,616.4091833,616.4091833
