subj_idx,param,rhat
P038,t(0-back),1.0035339011342528
P038,t(1-back),1.0018847027184665
P038,t(2-back),1.0033906624211169
P038,t(3-back),1.5512848714811565
P038,st(0-back),1.0013432055778884
P038,st(1-back),1.0010202106928217
P038,st(2-back),1.0021810010475762
P038,st(3-back),1.5404484094266206
P039,a(0-back),1.0253309106426234
P039,a(1-back),1.0035091833487888
P039,a(2-back),1.0027003205011524
P039,a(3-back),1.0077820074315385
P039,v(0-back),1.0088851588684846
P039,v(1-back),1.0011924674408317
P039,v(2-back),1.0005994588485518
P039,v(3-back),1.0040251531031283
P039,t(0-back),1.0197639370198215
P039,t(1-back),1.0043515183461411
P039,t(2-back),1.0038096255763003
P039,t(3-back),1.0090186576158682
P039,st(0-back),1.0074454379770192
P039,st(1-back),1.001423810693206
P039,st(2-back),1.0032773681706906
P039,st(3-back),1.0082305292244296
P040,a(0-back),1.0113631475575873
P040,a(1-back),1.0098070926935556
P040,a(2-back),1.0041071907978545
P040,a(3-back),1.0056677024674268
P040,v(0-back),1.002750450238349
P040,v(1-back),1.0028395908618517
P040,v(2-back),1.0003614427021192
P040,v(3-back),1.0016164108043184
P040,t(0-back),1.0115286443974818
P040,t(1-back),1.008675590745354
P040,t(2-back),1.0045452584354233
P040,t(3-back),1.0068554159114398
P040,st(0-back),1.0040267450399354
P040,st(1-back),1.0013198206419218
P040,st(2-back),1.0025715691715307
P040,st(3-back),1.0057254068579893
P041,a(0-back),1.0034740331825944
P041,a(1-back),1.0046323433495237
P041,a(2-back),1.528750087550998
P041,a(3-back),1.0004057827194697
P041,v(0-back),1.000565721683176
P041,v(1-back),1.001504603231104
P041,v(2-back),1.4624188756308276
P041,v(3-back),1.000667534410322
P041,t(0-back),1.0049456393168952
P041,t(1-back),1.0060720934291636
P041,t(2-back),1.5254876858258686
P041,t(3-back),1.000018473887434
P041,st(0-back),1.0016138741252125
P041,st(1-back),1.0051328558914225
P041,st(2-back),1.5199652037177087
P041,st(3-back),1.000418785899981
P042,a(0-back),1.0192440431145295
P042,a(1-back),1.0140438230114275
P042,a(2-back),1.002827361581255
P042,a(3-back),1.003924220044399
P042,v(0-back),1.0021252715511835
P042,v(1-back),1.0027201459204393
P042,v(2-back),1.0017316538782304
P042,v(3-back),1.0004399782449047
P042,t(0-back),1.022336846865581
P042,t(1-back),1.0176955689533658
P042,t(2-back),1.00354319204814
P042,t(3-back),1.004206134768478
P042,st(0-back),1.0094390815069736
P042,st(1-back),1.0147905471545116
P042,st(2-back),1.0048209237641774
P042,st(3-back),1.0015438273891393
P043,a(0-back),1.0027322732548998
P043,a(1-back),1.0156262921498116
