Participant.ID,a(0),a(1),st,sz,t(0),t(1),v(0),v(1),z_trans(0),z_trans(1)
P021,1.440545302,2.829788666,0.30365309,0.185880477,0.90215548,0.58031283,-0.105006827,2.154798817,-0.442872639,-0.154993045
P022,1.435342633,2.139794514,0.252210358,0.205471607,0.702410182,0.588424295,0.35332369,2.753152505,-0.04686041,0.086833106
P023,1.885454485,2.49505997,0.171654418,0.179061841,0.612609404,0.442513648,-0.036109645,1.989709088,-0.155093279,0.21857311
P024,1.863548265,2.956238659,0.257333086,0.17911604,0.967215383,0.476127807,0.103220493,1.532358531,-0.276045075,0.054103408
P025,1.422349039,1.895433412,0.118320995,0.190657636,0.632144546,0.522835205,-0.627426723,1.564364429,-0.057095849,0.165075182
P026,1.502281439,2.187434426,0.149938242,0.179613815,0.842336729,0.612518084,0.003541831,1.348487843,-0.296963121,0.43491971
P027,1.888977625,2.283635162,0.257286706,0.178795691,0.757268961,0.562715041,0.229807447,1.225693901,-0.304567181,0.207959768
P028,1.42716302,2.211100911,0.13870094,0.168905852,0.586110427,0.505323511,-0.706163219,2.190643949,-0.397768055,0.300912983
P029,1.401933711,1.95174782,0.196472385,0.19237614,0.595566853,0.503952091,-0.027736356,1.681183685,-0.150226143,0.268179363
P030,1.302607294,1.096730593,0.347468616,0.231789148,0.75466902,0.604444642,0.037310736,1.733706009,-0.103983599,-0.179639401
P031,1.586795414,2.184042651,0.092819973,0.226136445,0.612938965,0.461678476,0.617852161,1.714020068,-0.425808117,0.211663789
P032,1.69088255,2.724386483,0.12211038,0.191084244,0.775306737,0.531335049,0.19187088,1.913797688,-0.62952824,0.110864482
P033,1.176270448,1.647161155,0.148855251,0.213904239,0.645814603,0.529345928,-0.092492733,1.624099429,-0.083862639,0.071992221
P034,1.266761583,2.121136026,0.140505702,0.221586683,0.635915849,0.436845052,-0.177192631,1.277901883,-0.038640139,0.273318531
P035,2.004386085,1.759953844,0.145088732,0.188885849,0.779598289,0.597200693,0.293420331,1.098537939,-0.4122092,0.467678722
P036,1.481298772,1.967696343,0.130849044,0.192883522,0.700413216,0.602093079,0.015728205,1.882251773,-0.15064051,0.250821853
P037,1.019396394,2.095732663,0.104701509,0.166305643,0.616471792,0.56039217,0.215062347,1.725918615,-0.031760524,0.516598323
P038,2.225727753,2.759011357,0.160172526,0.1768709,0.617987837,0.4319641,-0.108712404,1.141632003,-0.212780304,0.392337313
P039,1.759818026,1.660341718,0.576857279,0.185556692,0.873706126,0.740533188,0.697350075,1.054773627,-0.841360159,0.372074279
P040,1.823611205,2.652854096,0.272669682,0.189175899,0.649663196,0.492858011,0.028589291,1.154302761,-0.042431415,0.038099582
P041,2.21835004,2.235787509,0.194042704,0.189474309,0.553354221,0.538004643,0.381304945,0.458424657,-0.320978078,0.29367173
P042,1.2015741,2.331794084,0.301383023,0.198875818,0.816739958,0.622165078,-0.467453819,2.971684749,0.301276058,0.04077062
P043,1.176386055,2.35390979,0.117037306,0.211314917,0.697713224,0.464170187,0.027610959,1.931059886,-0.165332716,0.030977424
P044,1.387936122,2.261008628,0.343973427,0.211018504,0.822889726,0.520420566,0.260555734,1.291751961,-0.202999351,-0.150142625
P045,1.545466135,1.89375685,0.243086075,0.199764377,0.925077757,0.564451764,-0.18872611,0.959361849,-0.026935522,0.281938916
P046,1.425168195,2.563669454,0.234115383,0.193299744,0.594530847,0.457456915,0.089988261,1.686604159,-0.074803555,0.234533696
P047,1.302579306,2.634720591,0.209517452,0.198565299,0.782250571,0.53224362,0.310133503,2.715106496,-0.624610732,-0.058486229
P048,1.498390295,2.739974193,0.244291559,0.19982731,0.706930524,0.478856885,0.150323932,2.205970314,-0.219222901,-0.063759144
